impl,size,block,steps,seed,alive_probability,initial_live_cells,final_live_cells,initial_checksum,final_checksum,elapsed_ms,verification,speedup_vs_seq
sequential,64,,50,12345,0.3,71462,48451,0x150f84a90f8e6567,0x7a268673b610824a,728.352,,1.0
cuda,64,8x8x8,50,12345,0.3,71462,48451,0x150f84a90f8e6567,0x7a268673b610824a,16.1463,PASS,45.10952973746307
cuda,64,16x8x8,50,12345,0.3,71462,48451,0x150f84a90f8e6567,0x7a268673b610824a,15.0502,PASS,48.39483860679592
cuda,64,8x16x8,50,12345,0.3,71462,48451,0x150f84a90f8e6567,0x7a268673b610824a,12.1423,PASS,59.98468165009923
sequential,128,,50,12345,0.3,600946,411475,0xf8313aa1968364d5,0xfea41e7040fb2e2a,6455.98,,1.0
cuda,128,8x8x8,50,12345,0.3,600946,411475,0xf8313aa1968364d5,0xfea41e7040fb2e2a,174.552,PASS,36.9859984417251
cuda,128,16x8x8,50,12345,0.3,600946,411475,0xf8313aa1968364d5,0xfea41e7040fb2e2a,136.042,PASS,47.45578571323561
cuda,128,8x16x8,50,12345,0.3,600946,411475,0xf8313aa1968364d5,0xfea41e7040fb2e2a,127.484,PASS,50.64149226569609
sequential,256,,50,12345,0.3,4919875,3365260,0xf3feed74865e0d12,0x5ed3a4769f133c8b,51636.9,,1.0
cuda,256,8x8x8,50,12345,0.3,4919875,3365260,0xf3feed74865e0d12,0x5ed3a4769f133c8b,791.87,PASS,65.20880952681627
cuda,256,16x8x8,50,12345,0.3,4919875,3365260,0xf3feed74865e0d12,0x5ed3a4769f133c8b,804.915,PASS,64.15199120404019
cuda,256,8x16x8,50,12345,0.3,4919875,3365260,0xf3feed74865e0d12,0x5ed3a4769f133c8b,819.561,PASS,63.00556029386464
